company,净利润(元),期末总股本,平均净资产(元),期末经营现金流净额(元),本期主营收入(元),上期主营收入(元),上期净利润(元),流通股的绝对值(元),期末净资产(元)
长源电力,-32927956.19,2549660478,6803964550,577759009.7,12163965739,5722155055,355510142.9,1108284080,9447467677
美达股份,56263725.66,528139623,1462856470,-237268695,3320195262,2349811160,36560636.24,528139623,1485512830
海鸥住工,43794822.35,607808495,1794725143,92781898.16,4125639722,3340050003,172157089.1,602138019,1820357890
武商集团,752423725.1,768992731,10296436689,1229862879,7126519207,7639434715,547427555.7,768073142,10677652125
汉王科技,106516441.7,244454646,1518854328,18741689.32,1613261199,1555160537,189248293.4,206710796,1533378058
西安旅游,-80582942.04,236747901,854904637,-173104239.3,560654445.2,299367471.2,33220566.76,235435669,818310468.1
贝肯能源,30983956.82,200987600,973391637,55038672.9,1143382773,935753630.8,26974024.13,154116015,968313979.9
汉钟精机,487834238,534881805,2452782547,361560503,2981163496,2272208134,364590173.5,532927291,2613750868
苏州银行,3287289789,3333375334,31188059134,19134870718,10829432907,10363936964,2725376164,1624878520,32645950305
东方精工,492391185.7,1331938167,3920254399,550996031.8,3524734784,2916270143,397097321,1090762037,3681970298
茂化实华,83122689.89,519875356,972528663,69341087.47,5572424947,3997922192,-378837.57,368001771,1036150908
超声电子,441437561,536986764,4018839104,409867058.1,6731163635,5168552776,366112804,536941276,4159873479
奥园美谷,-269403523.1,781180319,1589818546,-382582581.9,1538671100,1987344106,38170703.3,779635344,1465748897
中油资本,11588715494,12642079079,91136957742,-33102107033,738524708.2,819256875.2,15117407052,12642079079,92859552745
ST泰禾,-4051948091,2488901440,12353797321,-2948831541,4911127344,3614534476,-5106527271,2485671946,10059467925
双鹭药业,421326241.8,1027350000,5143052120,415837437.3,1214810525,1112733803,361453298.2,851403144,5311497706
ST中利,-3874385740,871787068,3695664648,248661580.6,10558386716,9033399140,-2923997753,762276264,1766110668
张裕A,506678373,685464000,10357858414,505146673,3953067583,3395402001,473062063,453460800,10447884183
晶澳科技,2088161689,1599392106,15575219268,2264976986,41301753628,25846520913,1548339990,759959801,16494261124
光洋股份,-81238076.19,492011076,1452165862,133102738.6,1622342223,1434256334,50358039.76,395480560,1432106958
环球印务,126149810.1,252000000,714004594,-44471117.72,2936304793,1875342224,127776924.1,251995800,758397541.7
金富科技,121326894.5,260000000,1300709789,133745865.2,659388290.3,514361903.7,88208974.16,75521700,1311973236
银星能源,101116822.4,706118997,2704119327,556561981.5,1359465843,1201865888,34532701.79,501352890,2752339011
西部创业,225674486.8,1458374735,5261966287,172193637.5,1236622449,895854770.1,171683451,1457916198,5376686666
鸿合科技,186984164.4,234985690,3077853039,145634352.4,5811414894,3993644812,95249034.34,97248383,3139762201
北摩高科,549502465.6,255272000,2260158240,107940748.6,1132372663,686679972.7,344008697.2,130048909,2451765544
浔兴股份,123222614.5,358000000,881225170,260672248.8,2261739714,1589919388,188099238.1,358000000,943793819
华锦股份,937189222.3,1599442537,13908084140,2814637063,38552307081,30437437455,344982452.5,1599442537,14280348965
ST森源,-489306226.2,929756977,3296871930,-494667467.6,1708191846,1649914528,-987546807,922864981,3052027572
亚太科技,458082156.6,1270529500,4821999640,-32116681.25,6016769028,3989600120,357256375.3,895175063,5015048366
盐湖股份,5221506555,5432876672,6727206265,-452420252.8,14778332500,14016260618,2010117462,5428875612,9335134682
福建金森,12914835.91,235756000,758578544,9608191.82,189886507,148031923.5,8712707.81,235756000,761507880.2
新大陆,750931159,1032062937,6186173592,491497630.2,7032011199,6356950911,502239156.2,1026331151,6267041538
双环传动,354406790.3,777691625,4222195948,641384700.6,5391010789,3664195095,80523909.27,637548612,4873939990
粤高速A,2426784700,2090806126,8457787242,2636187241,5288057678,3790348876,1364385006,1302902734,8982437985
西仪股份,6092927.13,318566172,877417969,69345775.84,784474602,639082821.4,-59986778.27,318566172,879745346.2
全新好,40348594.82,346448044,82893159,-3359064.84,202545808.4,45146397.44,-123038366,308948044,101314443.5
桂林旅游,-234033447.6,360100000,1210122967,-44463268.13,238740666.6,255027525.9,-296377019.3,360053425,1103777056
仙坛股份,87465127.08,860538727,4448570787,552559637.5,3311775721,3188320694,357581436.1,709676227,4403508229
柘中股份,419951698.3,441575416,2243833235,10300719.75,688962207.8,604422154.9,155648950.8,394632807,2403372729
北部湾港,1152190503,1633434454,10797423566,2339863044,5898319172,5362563703,1178769811,1266822415,11278221462
ST摩登,-20717397.57,712519844,754521464,-172080906.9,385225444.3,511949377.3,7317530.32,596307002,749514967.2
海普瑞,233383425.2,1467296204,11490373493,37283625.07,6365177483,5332074875,1021631773,1247201704,11411354456
东方钽业,88955064.45,440832644,1258187604,-6893503.92,794733397.2,676442241.9,49334745.05,440831060,1301919803
青鸟消防,554420470.9,348669837,3312647178,299105225.8,3863392960,2524621624,439135882.1,174955831,3543280833
杰瑞股份,1611695245,957853992,11775511507,314635189,8776172248,8294957105,1722074981,619288480,12473250931
广东鸿图,346744498.8,528878866,4667710754,1154325988,6003325507,5596026125,193438090.7,528866866,4774129915
大立科技,167070025.3,599237935,1979174025,277311741.6,805430043.5,1090187751,396473522.8,477861127,2524539573
川大智胜,24363715.5,225626095,1433531164,30440409.2,301351645.7,357347106.4,73668072.2,207360969,1432661433
粤桂股份,284488500.8,668401851,2983603388,265124048.3,3058940020,3190217906,63015492.62,378085022,3103405220
